analysis,field,node,CI
test-fields,Field 47,TransportAndStorage,0.0
test-fields,Field 47,LiquifiedNaturalGas,0.0
test-fields,Field 47,After,0.0
test-fields,Field 47,CrudeOilDewatering,0.0
test-fields,Field 48,TOTAL,8.672655307329187
test-fields,Field 48,ExplorationAndDrilling,1.7200017020049354
test-fields,Field 48,ProductionExtraction,6.693849866476775
test-fields,Field 48,SurfaceProcessing,0.08901678630769062
test-fields,Field 48,TransportAndStorage,0.0
test-fields,Field 48,LiquifiedNaturalGas,0.0
test-fields,Field 48,After,0.0
test-fields,Field 48,CrudeOilDewatering,0.0
test-fields,Field 49,TOTAL,8.61034756620631
test-fields,Field 49,ExplorationAndDrilling,1.7200006851885778
test-fields,Field 49,ProductionExtraction,6.55683662114499
test-fields,Field 49,SurfaceProcessing,0.1830762789080342
test-fields,Field 49,TransportAndStorage,0.0
test-fields,Field 49,LiquifiedNaturalGas,0.0
test-fields,Field 49,After,0.0
test-fields,Field 49,CrudeOilDewatering,0.0
test-fields,Field 50,TOTAL,10.624943640734488
test-fields,Field 50,ExplorationAndDrilling,1.7200064133551567
test-fields,Field 50,ProductionExtraction,7.681697443179096
test-fields,Field 50,SurfaceProcessing,0.9165451752103363
test-fields,Field 50,TransportAndStorage,0.0
test-fields,Field 50,LiquifiedNaturalGas,0.0
test-fields,Field 50,After,0.0
test-fields,Field 50,CrudeOilDewatering,0.0
test-fields,Field 51,TOTAL,9.35762013630152
test-fields,Field 51,ExplorationAndDrilling,1.7200286064636057
test-fields,Field 51,ProductionExtraction,7.073959186756489
test-fields,Field 51,SurfaceProcessing,0.32184770825869646
test-fields,Field 51,TransportAndStorage,0.0
test-fields,Field 51,LiquifiedNaturalGas,0.0
test-fields,Field 51,After,0.0
test-fields,Field 51,CrudeOilDewatering,0.0
test-fields,Field 52,TOTAL,11.896939935863934
test-fields,Field 52,ExplorationAndDrilling,1.720012087360045
test-fields,Field 52,ProductionExtraction,8.606188965211475
test-fields,Field 52,SurfaceProcessing,1.1819343429832745
test-fields,Field 52,TransportAndStorage,0.0
test-fields,Field 52,LiquifiedNaturalGas,0.0
test-fields,Field 52,After,0.0
test-fields,Field 52,CrudeOilDewatering,0.0
test-fields,Field 53,TOTAL,45.921124051576086
test-fields,Field 53,ExplorationAndDrilling,1.7239208617404311
test-fields,Field 53,ProductionExtraction,31.45481411197412
test-fields,Field 53,SurfaceProcessing,11.479306114049766
test-fields,Field 53,TransportAndStorage,0.0
test-fields,Field 53,LiquifiedNaturalGas,0.0
test-fields,Field 53,After,0.0
test-fields,Field 53,CrudeOilDewatering,0.0
test-fields,Field 54,TOTAL,7.994316264808557
test-fields,Field 54,ExplorationAndDrilling,1.7200773477126414
test-fields,Field 54,ProductionExtraction,5.738533608878497
test-fields,Field 54,SurfaceProcessing,0.09445851881196836
test-fields,Field 54,TransportAndStorage,0.0
test-fields,Field 54,LiquifiedNaturalGas,0.0
test-fields,Field 54,After,0.0
test-fields,Field 54,CrudeOilDewatering,0.0
test-fields,Field 55,TOTAL,7.29228561053
test-fields,Field 55,ExplorationAndDrilling,1.7200773047709814
test-fields,Field 55,ProductionExtraction,5.18006978042649
test-fields,Field 55,SurfaceProcessing,0.09151305862179529
test-fields,Field 55,TransportAndStorage,0.0
test-fields,Field 55,LiquifiedNaturalGas,0.0
test-fields,Field 55,After,0.0
test-fields,Field 55,CrudeOilDewatering,0.0
test-fields,Field 56,TOTAL,103.26279673829904
test-fields,Field 56,ExplorationAndDrilling,1.7200169262997955
test-fields,Field 56,ProductionExtraction,49.08171112125434
test-fields,Field 56,SurfaceProcessing,42.25904010504171
test-fields,Field 56,TransportAndStorage,0.0
test-fields,Field 56,LiquifiedNaturalGas,0.0
test-fields,Field 56,After,0.0
test-fields,Field 56,CrudeOilDewatering,0.16493536029544895
test-fields,Field 57,TOTAL,17.320919722985654
test-fields,Field 57,ExplorationAndDrilling,1.7200084821867176
test-fields,Field 57,ProductionExtraction,15.082947016526807
test-fields,Field 57,SurfaceProcessing,0.2451897746714151
test-fields,Field 57,TransportAndStorage,0.0
test-fields,Field 57,LiquifiedNaturalGas,0.0
test-fields,Field 57,After,0.0
test-fields,Field 57,CrudeOilDewatering,0.167803077434237
test-fields,Field 58,TOTAL,6.4640397324098124
test-fields,Field 58,ExplorationAndDrilling,1.7200187456597416
test-fields,Field 58,ProductionExtraction,4.070647426542887
test-fields,Field 58,SurfaceProcessing,0.3990598345614236
test-fields,Field 58,TransportAndStorage,0.0
test-fields,Field 58,LiquifiedNaturalGas,0.0
test-fields,Field 58,After,0.0
test-fields,Field 58,CrudeOilDewatering,0.16780307743423709
test-fields,Field 59,TOTAL,14.066171802466865
test-fields,Field 59,ExplorationAndDrilling,1.7200058359395105
test-fields,Field 59,ProductionExtraction,11.781829659105005
test-fields,Field 59,SurfaceProcessing,0.29129392659203257
test-fields,Field 59,TransportAndStorage,0.0
test-fields,Field 59,LiquifiedNaturalGas,0.0
test-fields,Field 59,After,0.0
test-fields,Field 59,CrudeOilDewatering,0.16780307743423709
test-fields,Field 60,TOTAL,8.95973775759242
test-fields,Field 60,ExplorationAndDrilling,1.7200110597088623
test-fields,Field 60,ProductionExtraction,6.6099846176877035
test-fields,Field 60,SurfaceProcessing,0.29246479476948656
test-fields,Field 60,TransportAndStorage,0.0
test-fields,Field 60,LiquifiedNaturalGas,0.0
test-fields,Field 60,After,0.0
test-fields,Field 60,CrudeOilDewatering,0.1691337170903929
test-fields,Field 61,TOTAL,10.092437425514856
test-fields,Field 61,ExplorationAndDrilling,1.7200133219417717
test-fields,Field 61,ProductionExtraction,7.159008753222516
test-fields,Field 61,SurfaceProcessing,0.872594990617983
test-fields,Field 61,TransportAndStorage,0.0
test-fields,Field 61,LiquifiedNaturalGas,0.0
test-fields,Field 61,After,0.0
test-fields,Field 61,CrudeOilDewatering,0.16913371709039296
test-fields,Field 62,TOTAL,15.025965874681654
test-fields,Field 62,ExplorationAndDrilling,1.7200657122233576
test-fields,Field 62,ProductionExtraction,9.648966668193466
test-fields,Field 62,SurfaceProcessing,3.290179406166665
test-fields,Field 62,TransportAndStorage,0.0
test-fields,Field 62,LiquifiedNaturalGas,0.0
test-fields,Field 62,After,0.0
test-fields,Field 62,CrudeOilDewatering,0.17325713567376905
test-fields,Field 63,TOTAL,18.730111029205084
test-fields,Field 63,ExplorationAndDrilling,1.7207968924082788
test-fields,Field 63,ProductionExtraction,11.46246323115735
test-fields,Field 63,SurfaceProcessing,5.161220765364222
test-fields,Field 63,TransportAndStorage,0.0
test-fields,Field 63,LiquifiedNaturalGas,0.0
test-fields,Field 63,After,0.0
test-fields,Field 63,CrudeOilDewatering,0.1732571356737691
test-fields,Field 64,TOTAL,9.539005983137004
test-fields,Field 64,ExplorationAndDrilling,1.7200198753656
test-fields,Field 64,ProductionExtraction,7.248946235153189
test-fields,Field 64,SurfaceProcessing,0.08573313544267411
test-fields,Field 64,TransportAndStorage,0.0
test-fields,Field 64,LiquifiedNaturalGas,0.0
test-fields,Field 64,After,0.0
test-fields,Field 64,CrudeOilDewatering,0.0
test-fields,Field 65,TOTAL,16.813333581221936
test-fields,Field 65,ExplorationAndDrilling,1.7200203304093185
test-fields,Field 65,ProductionExtraction,12.642567415719599
test-fields,Field 65,SurfaceProcessing,0.9322061943223314
test-fields,Field 65,TransportAndStorage,0.0
test-fields,Field 65,LiquifiedNaturalGas,0.0
test-fields,Field 65,After,0.0
test-fields,Field 65,CrudeOilDewatering,0.0
test-fields,Field 66,TOTAL,9.665649349902228
test-fields,Field 66,ExplorationAndDrilling,1.7201216441734481
test-fields,Field 66,ProductionExtraction,7.04850725265962
test-fields,Field 66,SurfaceProcessing,0.7357614559604235
test-fields,Field 66,TransportAndStorage,0.0
test-fields,Field 66,LiquifiedNaturalGas,0.0
test-fields,Field 66,After,0.0
test-fields,Field 66,CrudeOilDewatering,0.0
test-fields,Field 67,TOTAL,41.90984818896119
test-fields,Field 67,ExplorationAndDrilling,1.720018413151243
test-fields,Field 67,ProductionExtraction,33.375713373072045
test-fields,Field 67,SurfaceProcessing,0.020333802658803676
test-fields,Field 67,TransportAndStorage,0.0
test-fields,Field 67,LiquifiedNaturalGas,0.0
test-fields,Field 67,After,0.0
test-fields,Field 67,CrudeOilDewatering,0.0
test-fields,Field 68,TOTAL,41.12146432353346
test-fields,Field 68,ExplorationAndDrilling,1.720018413151243
test-fields,Field 68,ProductionExtraction,32.74609396916707
test-fields,Field 68,SurfaceProcessing,0.020333802658803676
test-fields,Field 68,TransportAndStorage,0.0
test-fields,Field 68,LiquifiedNaturalGas,0.0
test-fields,Field 68,After,0.0
test-fields,Field 68,CrudeOilDewatering,0.0
test-fields,Field 69,TOTAL,40.33308045810573
test-fields,Field 69,ExplorationAndDrilling,1.720018413151243
test-fields,Field 69,ProductionExtraction,32.11647456526209
test-fields,Field 69,SurfaceProcessing,0.020333802658803676
test-fields,Field 69,TransportAndStorage,0.0
test-fields,Field 69,LiquifiedNaturalGas,0.0
test-fields,Field 69,After,0.0
